onXCastTipsEvent : ["tips":"Send: 0kbps @ 0pkt @ 0.00% 0.00..."] 
onXCastTipsEvent : ["tips":"Send: 0kbps @ 0pkt @ 0.00% 0.00..."] 
onXCastTipsEvent : ["tips":"Send: 222kbps @ 82pkt @ 0.00% 0...."] 
onXCastTipsEvent : ["tips":"Send: 513kbps @ 152pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 512kbps @ 150pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 296kbps @ 120pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 188kbps @ 101pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 179kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 182kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 178kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 182kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 181kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 189kbps @ 101pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 173kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 162kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 168kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 196kbps @ 104pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 165kbps @ 100pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 164kbps @ 101pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 163kbps @ 102pkt @ 0.00% 0..."] 
onXCastTipsEvent : ["tips":"Send: 162kbps @ 102pkt @ 0.00% 0..."] 
